epoch,learning_rate,train_loss,train_silhouette,train_recall_5,test_loss,test_silhouette,test_recall_5,train_pos_sim,train_neg_sim,test_pos_sim,test_neg_sim,is_best_model
1,1e-05,0.021318138330300315,-0.06810133904218674,0.8776595744680851,0.24363849619403483,0.03344786539673805,0.8723404255319149,0.7018754217682815,-0.06167901294439372,0.7415347278118134,0.34789939820766447,No
2,1e-05,0.008205354627982782,-0.07469586282968521,0.8797872340425532,0.29601338673383,0.014486853033304214,0.8723404255319149,0.6906827458521215,-0.10964616743894579,0.7620802998542786,0.4066009521484375,No
3,1e-05,0.004449269391039796,-0.05484169349074364,0.8946808510638298,0.21740490682423114,-0.0028268422465771437,0.9148936170212766,0.7022526677061872,-0.13382302545374486,0.733352267742157,0.3384289383888245,No
4,5e-06,0.004061155701652396,-0.04225265979766846,0.8978723404255319,0.21311723180115222,-0.004035563208162785,0.9361702127659575,0.6908604938809465,-0.139442952104458,0.7331495881080627,0.3478090509772301,No
5,5e-06,0.003910679556003476,-0.0634511411190033,0.8808510638297873,0.2240706268232316,0.002544039860367775,0.9148936170212766,0.7062513281659382,-0.1416253734652589,0.7632605969905853,0.3555762082338333,No
6,5e-06,0.004599704680412087,-0.04826519638299942,0.8872340425531915,0.18957581873983145,-0.001725317444652319,0.8936170212765957,0.7030988108821031,-0.13601996849586323,0.7749514997005462,0.3540967255830765,No
7,2.5e-06,0.004001842810567923,-0.04745439067482948,0.8861702127659574,0.11675516851246356,0.0015708142891526222,0.9361702127659575,0.7097157350400599,-0.13841403422922624,0.7348420739173889,0.25797045826911924,Yes
8,2.5e-06,0.003978830964798562,-0.04435161501169205,0.8904255319148936,0.14127618179190904,-0.006474557798355818,0.9148936170212766,0.7101802224066199,-0.14410821571946145,0.7629006624221801,0.3026446968317032,No
9,2.5e-06,0.003131103944019187,-0.05493086576461792,0.8776595744680851,0.11732038868358359,-0.0015093928668648005,0.8297872340425532,0.7125231847530458,-0.14793043321952587,0.766406899690628,0.27558853700757024,No
10,1.25e-06,0.003965377119773,-0.05529414489865303,0.8893617021276595,0.1864694094285369,0.0019726634491235018,0.851063829787234,0.708747630003022,-0.1397210100983701,0.7568437576293945,0.33227455615997314,No
