queueId,priority,priorityReason,decision,recommendedAction,source,sourceId,relatedSourceId,name,category,categoryEligibility,newTier,latitude,longitude,canonicalId,canonicalName,evidence,reviewerDecision,reviewerNotes
MATCH:overture:overture:6ab1c81a-b5f9-43b3-b7de-167f049118a1,P2,strong_new_traveler_candidate,NEW_CANDIDATE,CREATE_NEW,overture,overture:6ab1c81a-b5f9-43b3-b7de-167f049118a1,,Karaoke nexttop club,bar,TRAVELER_RELEVANT,NEW_TIER_A_STRONG,16.03403252,108.21460442,google_maps_982,Karaoke Royal club,"{""confidence"":0.377,""reasonCodes"":[""incompatible_category"",""no_credible_canonical_match""]}",,
MATCH:overture:overture:6f08c921-41e1-448a-a1b8-50315255ffc7,P4,new_traveler_candidate_needs_evidence,NEW_CANDIDATE,CREATE_NEW,overture,overture:6f08c921-41e1-448a-a1b8-50315255ffc7,,Trung TÂM Mua BÁN SỬA ChỮA Xe ĐIỆN Nam ĐỨC,event,TRAVELER_RELEVANT,NEW_TIER_B_REVIEW,16.0788836,108.16722103,google_maps_126,Buffet bò Mỹ - Hải sản,"{""confidence"":0.2586,""reasonCodes"":[""incompatible_category"",""no_credible_canonical_match""]}",,
MATCH:overture:overture:6fec0184-4937-4385-a49b-63a65a4ec672,P2,strong_new_traveler_candidate,NEW_CANDIDATE,CREATE_NEW,overture,overture:6fec0184-4937-4385-a49b-63a65a4ec672,,Quán Nhậu A Xữ,restaurant,TRAVELER_RELEVANT,NEW_TIER_A_STRONG,16.08191346,108.2442148,google_maps_2748,Quán Nhậu Dũng Mập,"{""confidence"":0.511,""reasonCodes"":[""no_credible_canonical_match""]}",,
MATCH:overture:overture:74351d0b-e739-4141-ab85-b281adeaba60,P1,high_value_probable_match,PROBABLE_MATCH,ENRICH_EXISTING,overture,overture:74351d0b-e739-4141-ab85-b281adeaba60,,Hải Sản Thúng,restaurant,TRAVELER_RELEVANT,,16.06327434,108.24228815,google_maps_1691,Hải sản Mộc quán Đà Nẵng,"{""confidence"":0.7317,""reasonCodes"":[""nearby_coordinates"",""category_compatible""]}",,
MATCH:overture:overture:7555b69e-4737-448c-8380-3e06c48566ff,P0,potential_false_merge_or_chain_collision,AMBIGUOUS,DEFER,overture,overture:7555b69e-4737-448c-8380-3e06c48566ff,,Đồng Tiến Bakery,bakery,TRAVELER_RELEVANT,,16.10066441,108.25065798,google_maps_2444,Đồng Tiến Bakery,"{""confidence"":0.9962,""reasonCodes"":[""chain_branch_collision"",""branch_token_required""]}",,
MATCH:overture:overture:7cc37517-d3f8-45c7-8dfc-42fc55910eb9,P1,high_value_probable_match,PROBABLE_MATCH,ENRICH_EXISTING,overture,overture:7cc37517-d3f8-45c7-8dfc-42fc55910eb9,,Quán Nhậu Đèo,restaurant,TRAVELER_RELEVANT,,16.05462776,108.16053025,google_maps_3982,Quán Nhậu Đèo,"{""confidence"":0.9606,""reasonCodes"":[""exact_name_threshold_edge"",""category_compatible""]}",,
MATCH:overture:overture:7ce99702-701f-4168-9120-a94d2821c228,P0,potential_false_merge_or_chain_collision,AMBIGUOUS,DEFER,overture,overture:7ce99702-701f-4168-9120-a94d2821c228,,Tiệm bánh Hồng Ân,cafe,TRAVELER_RELEVANT,,16.066387694438,108.10484111309,google_maps_421,Tiệm Bánh Hồng Ân,"{""confidence"":0.7478,""reasonCodes"":[""multiple_probable_candidates""]}",,
MATCH:overture:overture:7db15ba6-9564-4462-8ebd-fb3e747643d3,P2,strong_new_traveler_candidate,NEW_CANDIDATE,CREATE_NEW,overture,overture:7db15ba6-9564-4462-8ebd-fb3e747643d3,,Fusion Resort & Villas,accommodation,TRAVELER_RELEVANT,NEW_TIER_A_STRONG,15.97468115,108.28129692,,,"{""confidence"":0,""reasonCodes"":[""no_credible_canonical_match""]}",,
MATCH:overture:overture:7f8cfa1f-a3d1-432a-9aac-530b9c58c3f0,P1,high_value_probable_match,PROBABLE_MATCH,ENRICH_EXISTING,overture,overture:7f8cfa1f-a3d1-432a-9aac-530b9c58c3f0,,Banh Canh Ca Rim Ma Nhung,restaurant,TRAVELER_RELEVANT,,16.13317017,108.11973245,google_maps_167,Bánh canh cá nục rim Má Nhung 1 (local restaurant),"{""confidence"":0.7593,""reasonCodes"":[""nearby_coordinates"",""category_compatible""]}",,
MATCH:overture:overture:82473105-3711-4f5b-b123-675a49e106e5,P4,new_traveler_candidate_needs_evidence,NEW_CANDIDATE,CREATE_NEW,overture,overture:82473105-3711-4f5b-b123-675a49e106e5,,Nhà hàng Hương Cau 2,restaurant,TRAVELER_RELEVANT,NEW_TIER_B_REVIEW,16.04611,108.222648,google_maps_1401,McDonald's 2 Tháng 9,"{""confidence"":0.4948,""reasonCodes"":[""no_credible_canonical_match""]}",,
MATCH:overture:overture:8559c4e7-4b82-41dd-a980-f7155b6f5319,P1,high_value_probable_match,PROBABLE_MATCH,ENRICH_EXISTING,overture,overture:8559c4e7-4b82-41dd-a980-f7155b6f5319,,Nhà Hàng Tiệc Cưới Hương Lam,restaurant,TRAVELER_RELEVANT,,15.96186124,108.13939984,google_maps_3727,Nhà Hàng Tiệc Cưới Hương Lam,"{""confidence"":0.9647,""reasonCodes"":[""exact_name_threshold_edge"",""category_compatible""]}",,
MATCH:overture:overture:8763d3d6-1699-4376-a419-2c5b61c9f4b9,P1,high_value_probable_match,PROBABLE_MATCH,ENRICH_EXISTING,overture,overture:8763d3d6-1699-4376-a419-2c5b61c9f4b9,,Cafe 268,cafe,TRAVELER_RELEVANT,,16.08740887,108.14460113,google_maps_1269,Cafe 268,"{""confidence"":0.9676,""reasonCodes"":[""exact_name_threshold_edge"",""category_compatible""]}",,
MATCH:overture:overture:88dd5e3a-e3bf-4bcd-964c-6541a5224634,P4,new_traveler_candidate_needs_evidence,NEW_CANDIDATE,CREATE_NEW,overture,overture:88dd5e3a-e3bf-4bcd-964c-6541a5224634,,SRC Da Nang,event,TRAVELER_RELEVANT,NEW_TIER_B_REVIEW,15.98821853,108.19977146,,,"{""confidence"":0,""reasonCodes"":[""no_credible_canonical_match""]}",,
MATCH:overture:overture:8ec3dca5-ed78-4d44-92c9-b2eb6896ad22,P2,strong_new_traveler_candidate,NEW_CANDIDATE,CREATE_NEW,overture,overture:8ec3dca5-ed78-4d44-92c9-b2eb6896ad22,,Nhà thầu thi công Sơn nước chuyên nghiệp,shopping,TRAVELER_RELEVANT,NEW_TIER_A_STRONG,15.979243661380744,108.21525026858556,,,"{""confidence"":0,""reasonCodes"":[""no_credible_canonical_match""]}",,
