epoch,learning_rate,train_loss,train_silhouette,train_recall_5,test_loss,test_silhouette,test_recall_5,train_pos_sim,train_neg_sim,test_pos_sim,test_neg_sim,is_best_model
1,1e-05,1.8991233298424404,-0.23545031249523163,0.6829787234042554,1.665613777190447,-0.08181130886077881,0.7659574468085106,0.46483771103184396,0.2915643584903148,0.46845370829105376,0.33846619054675103,No
2,1e-05,0.4294833894574833,-0.19682209193706512,0.6840425531914893,1.0126058354973793,-0.05958206206560135,0.8723404255319149,0.4370058179628558,-0.02821616865737114,0.48215815126895906,0.22414864972233772,No
3,1e-05,0.24458328784591088,-0.19949878752231598,0.675531914893617,0.769488887116313,-0.08690723776817322,0.851063829787234,0.4706190520670356,-0.06689035145384147,0.5484356552362442,0.20528836995363237,No
4,5e-06,0.2122870244429356,-0.20651330053806305,0.6542553191489362,0.6490976050496101,-0.07513218373060226,0.8723404255319149,0.4700335476456619,-0.08867227549944356,0.5513266861438751,0.19531637020409107,No
5,5e-06,0.15723108209743414,-0.19443900883197784,0.6617021276595745,0.7685639586299657,-0.0619010403752327,0.851063829787234,0.4903894739906962,-0.09685100508023624,0.5453438699245453,0.20942129269242288,No
6,5e-06,0.19820483658227092,-0.19769583642482758,0.6510638297872341,0.653212970495224,-0.06586693972349167,0.8723404255319149,0.49107302899767713,-0.0973542069902689,0.5377372592687607,0.19545646850019693,No
7,2.5e-06,0.2077268525458327,-0.20264849066734314,0.6627659574468086,0.526115664280951,-0.06830193847417831,0.8297872340425532,0.5056846921036883,-0.08980211696538523,0.5858328372240067,0.22128336783498526,No
8,2.5e-06,0.14404502036078357,-0.19373926520347595,0.6648936170212766,0.4947855869308114,-0.07979678362607956,0.851063829787234,0.49668579632189214,-0.10867586400524554,0.5811096131801605,0.1805154004599899,No
9,2.5e-06,0.145941468334218,-0.19239501655101776,0.6553191489361702,0.4552138788625598,-0.06473408639431,0.8297872340425532,0.5141019585655957,-0.11027013577418629,0.5938386738300323,0.20018383041024207,No
10,1.25e-06,0.14304575781180331,-0.19887559115886688,0.6531914893617021,0.4197765588760376,-0.06711312383413315,0.8297872340425532,0.5121814302554945,-0.11585906218771437,0.590892493724823,0.2028715753578581,Yes
